2024-09-19 07:04:24.416353 -- inserting match : EUW1_7119066504 
2024-09-19 07:04:26.290054 -- Sleeping 10 segs ... 
2024-09-19 07:04:36.452441 -- Sleeping 10 segs ... 
2024-09-19 07:04:46.598878 -- Sleeping 10 segs ... 
2024-09-19 07:04:56.751698 -- Sleeping 10 segs ... 
2024-09-19 07:05:06.914515 -- Sleeping 10 segs ... 
2024-09-19 07:05:17.083389 -- Sleeping 10 segs ... 
2024-09-19 07:05:27.235600 -- Sleeping 10 segs ... 
2024-09-19 07:05:37.384771 -- Sleeping 10 segs ... 
2024-09-19 07:05:47.542721 -- Sleeping 10 segs ... 
2024-09-19 07:05:57.695609 -- Sleeping 10 segs ... 
2024-09-19 07:06:31.776066 -- Sleeping 10 segs ... 
2024-09-19 07:06:41.927424 -- Sleeping 10 segs ... 
2024-09-19 07:06:52.079916 -- Sleeping 10 segs ... 
2024-09-19 07:07:02.230717 -- Sleeping 10 segs ... 
2024-09-19 07:07:12.389040 -- Sleeping 10 segs ... 
2024-09-19 07:07:22.572124 -- Sleeping 10 segs ... 
2024-09-19 07:07:32.718955 -- Sleeping 10 segs ... 
2024-09-19 07:07:42.869419 -- Sleeping 10 segs ... 
2024-09-19 07:07:53.028318 -- Sleeping 10 segs ... 
2024-09-19 07:08:03.178398 -- Sleeping 10 segs ... 
2024-09-19 07:08:36.579764 -- Sleeping 10 segs ... 
2024-09-19 07:08:46.724666 -- Sleeping 10 segs ... 
2024-09-19 07:08:56.871955 -- Sleeping 10 segs ... 
2024-09-19 07:09:07.033136 -- Sleeping 10 segs ... 
2024-09-19 07:09:17.195140 -- Sleeping 10 segs ... 
2024-09-19 07:09:27.398884 -- Sleeping 10 segs ... 
2024-09-19 07:09:37.551605 -- Sleeping 10 segs ... 
2024-09-19 07:09:47.704563 -- Sleeping 10 segs ... 
2024-09-19 07:09:57.855605 -- Sleeping 10 segs ... 
2024-09-19 07:10:08.012996 -- Sleeping 10 segs ... 
2024-09-19 07:10:19.112434 -- inserting match : EUW1_7121063909 
2024-09-19 07:10:20.595122 -- inserting match : EUW1_7121044528 
2024-09-19 07:10:22.128220 -- inserting match : EUW1_7121001448 
2024-09-19 07:10:23.556536 -- inserting match : EUW1_7120974489 
2024-09-19 07:10:25.116189 -- inserting match : EUW1_7119925525 
2024-09-19 07:10:26.632235 -- inserting match : EUW1_7119887959 
2024-09-19 07:10:28.012771 -- inserting match : EUW1_7119864578 
2024-09-19 07:10:29.545980 -- inserting match : EUW1_7119654759 
2024-09-19 07:10:30.949508 -- inserting match : EUW1_7119613383 
2024-09-19 07:10:32.545484 -- inserting match : EUW1_7119586140 
2024-09-19 07:10:54.580019 -- Sleeping 10 segs ... 
2024-09-19 07:11:04.743736 -- Sleeping 10 segs ... 
2024-09-19 07:11:14.894224 -- Sleeping 10 segs ... 
2024-09-19 07:11:25.046609 -- Sleeping 10 segs ... 
2024-09-19 07:11:35.258145 -- Sleeping 10 segs ... 
2024-09-19 07:11:45.402779 -- Sleeping 10 segs ... 
2024-09-19 07:11:55.555595 -- Sleeping 10 segs ... 
